"Long" "Lat" "R2"
-47.548 -13.438 0.430372277643315
-47.575 -13.441 0.420494645503791
-47.579 -13.533 0.430951787308003
-47.471 -13.637 0.456576652474026
-47.535 -13.54 0.451845713085475
-47.34 -13.486 0.464650752001944
-47.352 -13.496 0.465733124847137
-47.201 -13.539 0.444968468428524
-47.263 -13.495 0.450671307508896
-47.468 -13.611 0.46284204511701
-47.458 -13.253 0.414621113451586
-47.54 -13.445 0.434475982674425
-47.607 -13.429 0.407687639042538
-47.273 -13.404 0.449734296247279
-47.396 -13.27 0.431054255908612
-47.348 -13.358 0.456455629967543
-47.413 -13.419 0.468443830262352
-47.31 -13.505 0.458588955503839
-47.491 -13.449 0.468462475678452
-47.496 -13.581 0.463684513613273
-47.348 -13.661 0.454699140572882
-47.189 -13.316 0.43443233053902
-47.498 -13.411 0.450395749990794
-47.62 -13.444 0.406664657657628
-47.495 -13.514 0.475372372305589
-47.179 -13.595 0.443958686115661
-47.41 -13.427 0.4671949264721
-47.594 -13.251 0.391493733680704
-47.291 -13.298 0.438336065071028
-47.586 -13.381 0.40298753952703
-47.587 -13.381 0.40270551646652
-47.218 -13.349 0.439066505950167
-47.349 -13.471 0.464941364853578
-47.258 -13.293 0.436099727255973
-47.64 -13.311 0.390671279329056
-47.439 -13.527 0.480069744584448
-47.524 -13.604 0.450225637479407
-47.235 -13.508 0.447622529858405
-47.389 -13.323 0.444278781649099
